,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1,7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,219.72083333333333
2,7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,182.1875
6,6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,154.03750000000002
7,8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,223.20833333333334
8,12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,200.64583333333337
12,16,25.2,10,1013.2,79,0.6,4.8,11.1,285.22499999999997
13,13.4,21,9.2,1015.1,87,0.5,1.5,7.6,236.82499999999996
14,14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,276.90833333333336
18,12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,108.0
19,11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,107.625
20,12.2,19.9,6.2,1021,69,2.1,4.4,18.3,125.89166666666667
24,13.4,21.1,5.6,1020,60,1.9,8,22.2,181.01250000000005
25,12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,152.55416666666667
26,13.7,22,7,1018.2,63,1.8,7.2,18.3,152.32083333333335
30,14.9,21.9,7.1,1018.3,73,0.6,2,7.6,319.7375
31,15,24,7.6,1017.4,81,0.6,2.2,7.6,332.7083333333333
32,16.3,24,12,1017.2,80,0.8,1.3,9.4,279.59999999999997
33,18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,179.11666666666667
37,14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,54.791666666666664
38,14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,93.375
39,14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,103.0
43,17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,132.20833333333334
44,18.1,26.7,10.2,1013.8,61,2.6,5,11.1,127.70833333333333
45,18.3,23.2,12.7,1011.2,75,1.9,10,22.2,109.33333333333333
49,16.4,22,11.2,1015.5,81,1.6,5.9,18.3,56.458333333333336
50,16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,135.83333333333334
51,19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,122.5
55,17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,69.66666666666667
56,17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,79.83333333333333
57,20.4,28.4,15.2,1014.7,62,2.4,5,14.8,62.708333333333336
59,18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,21.208333333333332
60,19,26.8,11.7,1016.3,58,2.6,16.7,29.4,1.9166666666666667
61,18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,1.8333333333333333
65,22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,105.83333333333333
66,22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,117.58333333333333
67,24,33.8,13.6,1009.7,53,1.9,4.6,18.3,122.70833333333333
71,23.8,33,14.9,1010.4,64,1.9,3.9,11.1,111.95833333333333
72,22.6,33,18.1,1013.1,67,2.1,11.3,22.2,59.208333333333336
73,23,30,14.4,1016.1,55,2.7,6.7,14.8,77.20833333333333
77,24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,98.70833333333333
78,27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,123.70833333333333
79,26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,64.79166666666667
83,23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,52.333333333333336
84,23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,52.041666666666664
85,23.8,30.9,16.7,1009,52,1.6,6.5,13,128.33333333333334
89,24.7,31.5,17,1008.6,57,2.1,7.6,14.8,0.0
90,25.6,33.8,17.9,1008.7,47,2.1,4.4,13,23.208333333333332
91,25.7,36,17.8,1009,50,1.8,9.3,14.8,15.166666666666666
92,25.1,36,18.3,1009.5,56,2.7,9.1,18.3,21.25
96,29.5,37,18.5,1005.2,30,1.9,10.6,22.2,81.83333333333333
97,29.2,37.5,20,1006.1,38,2.6,5.9,14.8,105.33333333333333
98,31.1,37.8,21.7,1005.6,34,1.8,8.1,27.8,117.75
102,29.8,36.6,21.4,1007.8,37,1.9,8.1,18.3,84.5
103,28.2,36.6,21.9,1007.1,45,1.9,6.5,16.5,46.916666666666664
104,28.3,36.4,20.1,1004,47,1.9,6.3,14.8,104.625
108,29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,110.875
109,30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,42.958333333333336
110,28,38.6,23.8,1007.3,48,2.3,15.6,25.9,0.0
114,31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,120.875
115,29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,79.91666666666667
116,31.4,37.8,22,1006.9,38,2.3,13.7,22.2,0.0
120,31.4,39.2,22.8,1002.9,24,1.9,11.5,25.9,94.75
121,29.9,38.8,21.7,1000.8,29,1.9,12,24.1,142.5
122,29.7,38.3,21.6,999.3,35,1.9,10.2,22.2,133.375
126,32.8,40.8,25.3,1002,36,1.8,7.2,24.1,147.83333333333334
127,34.1,42,23.7,1001.4,29,1.9,9.3,18.3,158.29166666666666
128,34.1,42,26.8,1000.8,32,1.9,7.8,14.8,149.58333333333334
132,30.9,37.6,23.2,1003.7,44,1.9,3.5,11.1,101.5
133,32.9,39.8,24.7,1001,38,1.9,5.6,13,106.5
134,30.6,37.4,24.8,1000.8,47,1.9,2.2,7.6,128.125
138,36.2,44.6,25.9,999.2,29,1.9,15,27.8,101.95833333333333
139,36.2,44.6,29.2,999.1,32,1.9,10.6,18.3,98.41666666666667
140,36.8,45.1,28,999.1,26,1.9,12,25.9,94.375
144,37.7,45,30.5,998.1,32,1.9,10,22.2,107.625
145,36.2,43.6,29.3,998.4,32,2.3,8.1,20.6,110.41666666666667
146,35.6,42.6,30.2,999.3,41,1.9,8.1,20.6,95.83333333333333
150,33.6,40.6,24.8,998.8,47,1.9,10.6,18.3,72.25
151,31.9,40.6,26.7,1002,61,1.9,13.5,20.6,38.666666666666664
152,32.4,38.5,26.6,1001,63,2.3,13.3,22.2,45.375
153,34.1,40.3,28.8,999.7,59,1.9,10.9,16.5,65.16666666666667
157,34.1,43.2,25.7,997.9,57,1.9,7.4,14.8,66.08333333333333
158,34.2,39.8,29.1,996.7,64,1.9,13.7,18.3,77.66666666666667
159,35.1,40.2,30.2,995.2,52,1.9,8.5,14.8,70.25
163,30.3,39.2,28.8,998.6,75,1.9,10.2,22.2,56.291666666666664
164,30.4,38.6,27.8,997.7,73,1.9,8,22.2,77.0
165,29.8,38.6,24.6,997.9,71,2.3,12.6,16.5,32.958333333333336
169,29.7,35.5,24.8,999,76,1.9,4.3,14.8,80.625
170,33,38.4,25.3,997.6,58,1.8,4.8,13,90.70833333333333
171,35.6,41,27.3,995.5,49,1.9,7.4,18.3,97.29166666666667
175,31,39.4,27.8,999.2,74,1.9,11.5,18.3,50.708333333333336
176,31.2,35.7,27.2,998.4,75,1.9,6.3,14.8,40.375
177,31.2,37.1,27.6,996.8,71,1.9,8.1,20.6,49.416666666666664
181,33.9,39.2,27.8,995.2,62,1.9,8.9,14.8,61.875
182,32.8,37.6,28.4,995.8,67,1.9,9.3,18.3,0.0
183,31.6,37.6,26.9,997.5,76,1.9,6.5,11.1,29.666666666666668
187,31.1,35,27.9,1000.1,81,1.9,7.2,11.1,49.125
188,30.3,35.8,27.2,997.5,78,1.9,7.6,14.8,43.666666666666664
189,29.2,35.4,24.6,996.4,81,1.8,7.4,14.8,29.833333333333332
193,31.8,36.7,25.8,998.8,75,1.9,8.3,14.8,35.208333333333336
194,31.1,37.2,28.2,997.5,76,1.9,3.9,11.1,37.625
195,31.7,37.2,26.8,998.3,78,1.9,7.8,11.1,41.458333333333336
199,30.9,35.4,25.8,995,77,1.9,10.4,18.3,38.583333333333336
200,26.8,35.4,24.2,999,93,1.1,6.3,14.8,36.0
201,29.1,33.8,23.9,996.3,86,1.4,2.6,55.4,70.58333333333333
205,28.5,34.4,26.3,995.5,87,1.6,7,14.8,33.166666666666664
206,30.4,35.1,24.8,995.2,77,1.9,5.2,14.8,38.25
207,30,35.5,26.2,997.5,83,1.9,3.7,11.1,26.583333333333332
211,29,33.7,26.9,996.5,82,1.9,9.8,14.8,15.416666666666666
212,31.1,34.9,25.9,998.2,76,1.9,6.7,11.1,41.375
213,31.8,36,27.5,999.6,71,1.9,11.7,18.3,25.541666666666668
214,32.2,36.1,27.4,1000.8,69,1.9,9.3,14.8,28.375
218,28.4,30.6,25.3,1001.8,88,1.4,3.1,7.6,50.333333333333336
219,28.1,30.8,25.8,1000.6,88,1.9,8,18.3,35.375
220,27.4,30.8,25.4,1000.8,90,1.9,3.1,9.4,31.916666666666668
224,30.1,34.6,27.2,1000,79,1.9,10.2,18.3,35.291666666666664
225,29.7,34.9,26.1,1000.3,79,1.9,8.3,18.3,26.833333333333332
226,27.7,30.7,24.8,1001.8,88,1.9,7.2,14.8,21.125
230,28.4,33.1,26,1000,86,1.9,5,18.3,35.708333333333336
231,27.4,33.5,24.4,999.1,90,1.1,5.4,18.3,43.583333333333336
232,29.2,34.4,24.8,999,81,2.1,7.8,29.4,46.041666666666664
236,30.4,36.5,27.8,999.3,82,1.4,2,7.6,82.875
237,32.1,36.7,26.8,998.1,74,1.9,6.5,14.8,64.91666666666667
238,32,35.5,27.6,999.8,65,2.6,16.9,29.4,30.666666666666668
242,29.1,34.2,25.9,1003.4,76,1.9,5.6,9.4,34.416666666666664
243,30.2,35.6,25.6,1003.6,68,3.1,14.8,22.2,33.166666666666664
244,31.7,35.9,27,1003.6,59,2.6,14.4,22.2,30.625
245,31.6,36.3,25.9,1002.7,58,2.7,15.4,25.9,30.333333333333332
249,30.9,35.6,25,1004.8,58,2.3,6.9,14.8,0.0
250,29.6,34.2,25.8,1007.3,67,1.9,6.3,14.8,0.0
251,29.3,35,24.1,1007.6,70,1.9,4.3,11.1,0.0
255,30.6,36,25.8,1007.2,74,1.6,2.8,7.6,76.875
256,31.2,36.4,25.8,1004.4,69,1.9,2,7.6,83.45833333333333
257,31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667
261,29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333
262,28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375
263,26.3,34.1,24,1003.4,87,1.9,6.1,11.1,24.875
267,28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.958333333333336
268,28.6,34.5,24,1006.7,81,1.9,3.9,9.4,41.5
269,29,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.791666666666664
273,29.1,34,23.8,1007.8,72,1.9,6.5,13,30.333333333333332
274,28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.666666666666668
275,27.9,33.7,23.2,1008.4,67,2.6,10,14.8,29.0
279,29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.708333333333336
280,30.1,34.5,24.8,1010,72,1.8,1.5,7.6,60.541666666666664
281,30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336
285,27.4,33.1,22.8,1008,85,1.6,0.4,3.5,80.04166666666667
286,27.5,32.5,23,1007.1,80,1.8,6.1,18.3,82.83333333333333
287,26.6,32.6,21.1,1008.8,76,1.6,3.3,11.1,95.25
291,25.6,33.2,19.5,1011.5,67,1.4,3.7,14.8,126.16666666666667
292,25,32.8,17.6,1010.8,69,1.4,1.1,5.4,136.70833333333334
293,24.8,32.3,17.3,1009.7,68,1.4,1.5,7.6,160.66666666666666
297,24.1,30,17.5,1011.2,74,1,1.5,9.4,245.66666666666666
298,24.3,31.4,18.5,1011.2,72,1.1,0.4,3.5,261.6666666666667
299,23,31,18,1010.6,71,0.8,2.6,9.4,272.4166666666667
303,24.1,30.1,16.7,1014,62,1.4,3.3,11.1,149.625
304,23.8,30.5,18.4,1013.5,71,1.6,1.3,3.5,99.70833333333333
305,22.4,28.6,16.3,1014.6,67,1,5.4,11.1,217.375
306,20.9,28.1,13.6,1016,59,0.8,6.3,18.3,309.375
310,20.1,27.1,14,1015.5,78,0.6,3.9,11.1,321.5416666666667
311,18.9,27.1,14.5,1015.2,80,0.6,1.3,7.6,278.0
312,19.1,25.6,12.4,1016.6,79,0.8,0.4,3.5,192.33333333333334
316,17.8,26.2,11,1014.3,68,1,3,11.1,224.16666666666666
317,17.6,25.6,11.2,1015.2,68,1.1,3.5,14.8,196.75
318,17,26.6,10,1016.5,70,1.1,0.9,7.6,221.54166666666666
322,17.8,26.9,11.4,1015.4,67,1.4,7.2,20.6,166.70833333333334
323,18.2,28.1,10.4,1012.6,61,1.8,2.6,11.1,130.70833333333334
324,18,28.5,10.2,1013.2,68,1.1,2,11.1,194.70833333333334
328,21.1,28.8,13.8,1012.8,57,1.6,9.4,22.2,134.45833333333334
329,21.3,28.8,15,1011.9,58,1.9,9.6,16.5,110.0
330,19,28.8,12.5,1014.7,72,1.6,2.8,9.4,160.0
334,18.1,28,10,1016.1,66,1.4,1.7,7.6,118.91666666666667
335,17.2,28.4,9.8,1015.8,73,1.1,1.9,11.1,176.375
336,17.4,28.4,9.2,1016.6,74,1.1,1.5,11.1,185.95833333333334
340,16,26.1,9.1,1014.4,81,1,1.1,5.4,239.125
342,16.2,25.3,9.5,1013.4,81,0.8,2.2,14.8,312.2083333333333
346,16.5,24.5,10.8,1012.2,74,1.6,10.2,22.2,121.33333333333333
347,15.4,24.9,8.2,1012.8,82,1,0.7,3.5,202.875
348,15.5,24.9,9.4,1015.1,88,0.6,2.6,7.6,260.1666666666667
352,16.3,22.4,10.8,1012.8,91,0.6,3.1,11.1,277.7083333333333
353,15.4,19.7,11.6,1016,93,0.6,4.4,9.4,284.1666666666667
354,14.6,15.9,12.5,1016.9,95,0.5,0.4,3.5,288.4166666666667
358,13.6,20.4,7.5,1020.7,67,1.1,10.2,40.7,166.91666666666666
359,12.3,20.6,6.2,1019.4,71,1.3,4.4,18.3,169.0
360,11.9,17.1,6.5,1018.6,84,1.1,1.1,5.4,186.04166666666666
364,14.3,19.2,10.9,1020.5,91,1.6,4.8,11.1,108.08333333333333
